     211 ORACLE 0x07A70 = 0x00400110
     212 WR     0x07A70 = 0x00400310
     213 ORACLE 0x07A70 = 0x00400310
     214 WR     0x07A70 = 0x00400310
     215 ORACLE 0x07A70 = 0x00400310
     216 ORACLE 0x079F0 = 0x00006260
     217 WR     0x079F0 = 0x00006260
     218 ORACLE 0x07AA4 = 0x00000000
     219 WR     0x07AA4 = 0x00000000
     220 ORACLE 0x05DA4 = 0x00000000
     221 WR     0x05DA4 = 0x00000000
     222 ORACLE 0x05DA8 = 0x30000010
     223 ORACLE 0x00BF0 = 0x00000000
     224 WR     0x00BF0 = 0x00000002
     225 ORACLE 0x106F8 = 0x00000000
     226 WR     0x106F8 = 0x00000002
     227 ORACLE 0x10300 = 0x00010000
     228 WR     0x10300 = 0x02010000
     229 ORACLE 0x10244 = 0x00000015
     230 WR     0x10244 = 0x00000011
     231 ORACLE 0x101F4 = 0x00000000
     232 WR     0x101F4 = 0x00000001
     233 ORACLE 0x104D0 = 0x00003000
     234 WR     0x104D0 = 0x00003001
     235 WR     0x103D8 = 0x00000001
     236 ORACLE 0x106D8 = 0x00000000
     237 WR     0x106D8 = 0x00010000
     238 WR     0x104C4 = 0x04000800
     239 ORACLE 0x10714 = 0x00000000
     240 WR     0x10714 = 0x00000006
     241 ORACLE 0x10618 = 0x00000003
     242 WR     0x10618 = 0x00000004
     243 ORACLE 0x10670 = 0x00400110
     244 WR     0x10670 = 0x00400310
     245 ORACLE 0x10670 = 0x00400310
     246 WR     0x10670 = 0x00400310
     247 ORACLE 0x10670 = 0x00400310
     248 ORACLE 0x105F0 = 0x00006260
     249 WR     0x105F0 = 0x00006260
     250 ORACLE 0x106A4 = 0x00000000
     251 WR     0x106A4 = 0x00000000
     252 ORACLE 0x05DB4 = 0x00000000
     253 WR     0x05DB4 = 0x00000000
     254 ORACLE 0x05DB8 = 0x30000010
     255 ORACLE 0x00BF4 = 0x00000000
     256 WR     0x00BF4 = 0x00000002
     257 ORACLE 0x112F8 = 0x00000000
     258 WR     0x112F8 = 0x00000002
     259 ORACLE 0x10F00 = 0x00010000
     260 WR     0x10F00 = 0x02010000
     261 ORACLE 0x10E44 = 0x00000015
     262 WR     0x10E44 = 0x00000011
     263 ORACLE 0x10DF4 = 0x00000000
     264 WR     0x10DF4 = 0x00000001
     265 ORACLE 0x110D0 = 0x00003000
     266 WR     0x110D0 = 0x00003001
     267 WR     0x10FD8 = 0x00000001
     268 ORACLE 0x112D8 = 0x00000000
     269 WR     0x112D8 = 0x00010000
     270 WR     0x110C4 = 0x04000800
     271 ORACLE 0x11314 = 0x00000000
     272 WR     0x11314 = 0x00000006
     273 ORACLE 0x11218 = 0x00000003
     274 WR     0x11218 = 0x00000004
     275 ORACLE 0x11270 = 0x00400110
     276 WR     0x11270 = 0x00400310
     277 ORACLE 0x11270 = 0x00400310
     278 WR     0x11270 = 0x00400310
     279 ORACLE 0x11270 = 0x00400310
     280 ORACLE 0x111F0 = 0x00006260
     281 WR     0x111F0 = 0x00006260
     282 ORACLE 0x112A4 = 0x00000000
     283 WR     0x112A4 = 0x00000000
     284 ORACLE 0x05DC4 = 0x00000000
     285 WR     0x05DC4 = 0x00000000
     286 ORACLE 0x05DC8 = 0x30000010
     287 ORACLE 0x00BF8 = 0x00000000
